candidate_id	drugbank_id	doid_id	lemma	compound_start	compound_end	disease_start	disease_end	generative_model_pred	discriminative_model_pred
2095410	DB00441	DOID:1324	'induction'|'gemcitabine'|'in'|'standard'|'dose'|'or'|'prolong'|'low'|'-'|'dose'|'with'|'cisplatin'|'follow'|'by'|'concurrent'|'radiochemotherapy'|'in'|'locally'|'advanced'|'non'|'-'|'small'|'cell'|'lung'|'cancer'|':'|'a'|'randomized'|'phase'|'ii'|'clinical'|'trial'	1	2	19	25	0.9995884666717401	0.941201627254486
2824574	DB00317	DOID:1612	'a'|'european'|'organisation'|'for'|'research'|'and'|'treatment'|'of'|'cancer'|'randomize'|','|'double'|'-'|'blind'|','|'placebo'|'-'|'control'|','|'multicentre'|'phase'|'ii'|'trial'|'of'|'anastrozole'|'in'|'combination'|'with'|'gefitinib'|'or'|'placebo'|'in'|'hormone'|'receptor'|'-'|'positive'|'advanced'|'breast'|'cancer'|'('|'nct00066378'|')'|'.'	24	25	28	33	0.4232479019218542	0.9406696557998656
2824575	DB01217	DOID:1612	'a'|'european'|'organisation'|'for'|'research'|'and'|'treatment'|'of'|'cancer'|'randomize'|','|'double'|'-'|'blind'|','|'placebo'|'-'|'control'|','|'multicentre'|'phase'|'ii'|'trial'|'of'|'anastrozole'|'in'|'combination'|'with'|'gefitinib'|'or'|'placebo'|'in'|'hormone'|'receptor'|'-'|'positive'|'advanced'|'breast'|'cancer'|'('|'nct00066378'|')'|'.'	20	21	28	33	0.9957678890826517	0.9515594244003296
3736647	DB00773	DOID:1324	'tmp'|'/'|'smz'|'('|'320/1600'|'mg'|'/'|'day'|')'|'treatment'|'be'|'compare'|'to'|'placebo'|'in'|'a'|'double'|'-'|'blind'|','|'randomized'|'trial'|'in'|'patient'|'with'|'newly'|'diagnose'|'small'|'cell'|'carcinoma'|'of'|'the'|'lung'|'during'|'the'|'initial'|'course'|'of'|'chemotherapy'|'with'|'cyclophosphamide'|','|'doxorubicin'|','|'and'|'etoposide'|'.'	39	40	23	27	0.8739071062132845	0.9412261247634888
3736650	DB01582	DOID:1324	'tmp'|'/'|'smz'|'('|'320/1600'|'mg'|'/'|'day'|')'|'treatment'|'be'|'compare'|'to'|'placebo'|'in'|'a'|'double'|'-'|'blind'|','|'randomized'|'trial'|'in'|'patient'|'with'|'newly'|'diagnose'|'small'|'cell'|'carcinoma'|'of'|'the'|'lung'|'during'|'the'|'initial'|'course'|'of'|'chemotherapy'|'with'|'cyclophosphamide'|','|'doxorubicin'|','|'and'|'etoposide'|'.'	0	1	23	27	0.6113845790457512	0.9491972923278807
7771060	DB06594	DOID:1595	'a'|'randomised'|','|'double'|'-'|'blind'|'study'|'in'|'adult'|'with'|'major'|'depressive'|'disorder'|'with'|'an'|'inadequate'|'response'|'to'|'a'|'single'|'course'|'of'|'selective'|'serotonin'|'reuptake'|'inhibitor'|'or'|'serotonin'|'-'|'noradrenaline'|'reuptake'|'inhibitor'|'treatment'|'switch'|'to'|'vortioxetine'|'or'|'agomelatine'|'.'	33	34	8	11	0.9555609804656257	0.9363200068473816
8319324	DB09078	DOID:1781	'lenvatinib'|','|'a'|'multikinase'|'inhibitor'|','|'be'|'approve'|'for'|'the'|'treatment'|'of'|'patient'|'with'|'radioiodine'|'-'|'refractory'|'metastatic'|'thyroid'|'cancer'|'on'|'the'|'basis'|'of'|'a'|'phase'|'iii'|','|'prospective'|','|'double'|'-'|'blind'|','|'randomized'|','|'placebo'|'-'|'control'|'trial'|'that'|'show'|'long'|'progression'|'-'|'free'|'survival'|'in'|'the'|'drug'|'-'|'treat'|'arm'|'.'	18	20	0	1	0.9997810411090826	0.9465047121047974
8433453	DB09570	DOID:2531	'the'|'role'|'of'|'ixazomib'|'as'|'an'|'augment'|'conditioning'|'therapy'|'in'|'salvage'|'autologous'|'stem'|'cell'|'transplant'|'('|'asct'|')'|'and'|'as'|'a'|'post'|'-'|'asct'|'consolidation'|'and'|'maintenance'|'strategy'|'in'|'patient'|'with'|'relapse'|'multiple'|'myeloma'|'('|'accord'|'['|'uk'|'-'|'mra'|'myeloma'|'xii'|']'|'trial'|')'|':'|'study'|'protocol'|'for'|'a'|'phase'|'iii'|'randomise'|'controlled'|'trial'	40	41	3	4	0.8782717704069503	0.9541227221488952
11583672	DB04940	DOID:1612	'clinical'|'effect'|'of'|'prior'|'trastuzumab'|'on'|'combination'|'eribulin'|'mesylate'|'plus'|'trastuzumab'|'as'|'first'|'-'|'line'|'treatment'|'for'|'human'|'epidermal'|'growth'|'factor'|'receptor'|'2'|'positive'|'locally'|'recurrent'|'or'|'metastatic'|'breast'|'cancer'|':'|'result'|'from'|'a'|'phase'|'ii'|','|'single'|'-'|'arm'|','|'multicenter'|'study'	7	9	28	30	0.9989487867138739	0.9572311639785768
12373134	DB01041	DOID:1324	'randomize'|'double'|'-'|'blind'|'placebo'|'-'|'control'|'trial'|'of'|'thalidomide'|'in'|'combination'|'with'|'gemcitabine'|'and'|'carboplatin'|'in'|'advanced'|'non'|'-'|'small'|'-'|'cell'|'lung'|'cancer'|'.'	14	17	5	6	0.9555609804656257	0.9342679381370544
13693892	DB01248	DOID:10283	'docetaxel'|'and'|'atrasentan'|'versus'|'docetaxel'|'and'|'placebo'|'for'|'man'|'with'|'advanced'|'castration'|'-'|'resistant'|'prostate'|'cancer'|'('|'swog'|'s0421'|')'|':'|'a'|'randomised'|'phase'|'3'|'trial'	0	1	14	16	0.9961063104257247	0.94359028339386
13693893	DB01248	DOID:10283	'docetaxel'|'and'|'atrasentan'|'versus'|'docetaxel'|'and'|'placebo'|'for'|'man'|'with'|'advanced'|'castration'|'-'|'resistant'|'prostate'|'cancer'|'('|'swog'|'s0421'|')'|':'|'a'|'randomised'|'phase'|'3'|'trial'	4	5	14	16	0.9961063104257247	0.964193880558014
13969473	DB00720	DOID:2531	'the'|'medical'|'research'|'council'|'myeloma'|'ix'|'trial'|'('|'isrctng8454111'|')'|'examine'|'traditional'|'and'|'thalidomide'|'-'|'base'|'induction'|'and'|'maintenance'|'regimen'|'and'|'iv'|'zoledronic'|'acid'|'('|'zol'|')'|'and'|'oral'|'clodronate'|'('|'clo'|')'|'in'|'1960'|'patient'|'with'|'newly'|'diagnose'|'multiple'|'myeloma'|'.'	27	28	4	6	0.9555609804656257	0.9439179301261902
14748107	DB00441	DOID:1793	'gemcitabine'|'be'|'a'|'promising'|'agent'|'for'|'the'|'treatment'|'of'|'resectable'|'advanced'|'pancreatic'|'cancer'|','|'and'|'a'|'randomized'|'control'|'trial'|'be'|'warrant'|'for'|'gemcitabine'|'-'|'base'|'chemotherapy'|'.'	11	13	0	1	0.9999937749232958	0.9388296604156494
17022074	DB00441	DOID:1793	'final'|'result'|'of'|'a'|'phase'|'ii'|'trial'|'['|'parc'|'-'|'study'|'isrctn56652283'|']'|'for'|'patient'|'with'|'primary'|'inoperable'|'locally'|'advanced'|'pancreatic'|'cancer'|'combine'|'intensity'|'modulate'|'radiotherapy'|'('|'imrt'|')'|'with'|'cetuximab'|'and'|'gemcitabine'|'.'	30	31	18	20	0.9996732849061865	0.9390522241592408
21097306	DB00313	DOID:3312	'aripiprazole'|'plus'|'divalproex'|'for'|'recently'|'manic'|'or'|'mixed'|'patient'|'with'|'bipolar'|'-pron-'|'disorder'|':'|'a'|'6-month'|','|'randomized'|','|'placebo'|'-'|'control'|','|'double'|'-'|'blind'|'maintenance'|'trial'|'.'	2	3	10	13	0.9446581828117006	0.9345840811729432
21521211	DB00515	DOID:11934	'cetuximab'|','|'docetaxel'|','|'and'|'cisplatin'|'('|'tpex'|')'|'as'|'first'|'-'|'line'|'treatment'|'in'|'patient'|'with'|'recurrent'|'or'|'metastatic'|'('|'r'|'/'|'m'|')'|'squamous'|'cell'|'carcinoma'|'of'|'the'|'head'|'and'|'neck'|'('|'scchn'|')'|':'|'first'|'result'|'of'|'phase'|'ii'|'trial'|'gortec'|'2008'|'-'|'03'|'.'	5	6	30	32	0.9971804604484811	0.9403231739997864
21859032	DB00399	DOID:184	'zoledronate'|'in'|'combination'|'with'|'chemotherapy'|'and'|'surgery'|'to'|'treat'|'osteosarcoma'|'('|'os2006'|')'|':'|'a'|'randomised'|','|'multicentre'|','|'open'|'-'|'label'|','|'phase'|'3'|'trial'|'.'	9	10	0	1	0.9955152439173718	0.954985737800598
24207380	DB01234	DOID:2531	'two'|'pivotal'|','|'phase'|'iii'|','|'randomised'|','|'placebo'|'-'|'control'|','|'registration'|'trial'|'('|'mm-009'|'and'|'mm-010'|')'|'show'|'that'|'lenalidomide'|'plus'|'dexamethasone'|'be'|'more'|'effective'|'than'|'placebo'|'plus'|'dexamethasone'|'in'|'the'|'treatment'|'of'|'patient'|'with'|'relapsed'|'or'|'refractory'|'multiple'|'myeloma'|'.'	30	31	41	42	0.9999961700175408	0.939396321773529
28175343	DB01248	DOID:10283	'ipilimumab'|'versus'|'placebo'|'after'|'radiotherapy'|'in'|'patient'|'with'|'metastatic'|'castration'|'-'|'resistant'|'prostate'|'cancer'|'that'|'have'|'progress'|'after'|'docetaxel'|'chemotherapy'|'('|'ca184'|'-'|'043'|')'|':'|'a'|'multicentre'|','|'randomised'|','|'double'|'-'|'blind'|','|'phase'|'3'|'trial'	18	19	12	14	0.9995884666717401	0.9492460489273072
29446498	DB00331	DOID:14221	'clomiphene'|'citrate'|'effect'|'in'|'obese'|'man'|'with'|'low'|'serum'|'testosterone'|'treat'|'with'|'metformin'|'due'|'to'|'dysmetabolic'|'disorder'|':'|'a'|'randomized'|','|'double'|'-'|'blind'|','|'placebo'|'-'|'control'|'study'	15	17	12	13	0.9955416809211428	0.9353117346763612
29500787	DB00718	DOID:2043	'entecavir'|'1'|'  '|'mg'|'/'|'day'|'be'|'more'|'effective'|'than'|'adefovir'|'dipivoxil'|'10'|'  '|'mg'|'/'|'day'|'in'|'the'|'treatment'|'of'|'patient'|'with'|'chronic'|'hepatitis'|'b'|'and'|'decompensate'|'liver'|'disease'|','|'accord'|'to'|'the'|'result'|'of'|'a'|'randomized'|','|'open'|'-'|'label'|','|'multicentre'|'trial'|'.'	18	20	7	9	0.9957678890826517	0.935602068901062
30176991	DB00317	DOID:1324	'gefitinib'|'versus'|'placebo'|'as'|'maintenance'|'therapy'|'in'|'patient'|'with'|'locally'|'advanced'|'or'|'metastatic'|'non'|'-'|'small'|'-'|'cell'|'lung'|'cancer'|'('|'inform'|';'|'c'|'-'|'tong'|'0804'|')'|':'|'a'|'multicentre'|','|'double'|'-'|'blind'|'randomise'|'phase'|'3'|'trial'|'.'	13	16	0	1	0.9995884666717401	0.9496406316757202
30280791	DB00947	DOID:1612	'buparlisib'|'plus'|'fulvestrant'|'versus'|'placebo'|'plus'|'fulvestrant'|'in'|'postmenopausal'|','|'hormone'|'receptor'|'-'|'positive'|','|'her2-negative'|','|'advanced'|'breast'|'cancer'|'('|'belle-2'|')'|':'|'a'|'randomised'|','|'double'|'-'|'blind'|','|'placebo'|'-'|'control'|','|'phase'|'3'|'trial'	6	7	18	20	0.9885524890710872	0.9373186230659484
30637540	DB01181	DOID:2531	'ice'|'('|'ifosfamide'|','|'carboplatin'|','|'etoposide'|')'|'with'|'or'|'without'|'bortezomib'|'in'|'patient'|'with'|'relapsed'|'/'|'refractory'|'hodgkin'|'lymphoma'|':'|'result'|'of'|'a'|'randomized'|'phase'|'ii'|'trial'	2	3	18	20	0.9936867340136638	0.9385931491851808
30637542	DB00773	DOID:2531	'ice'|'('|'ifosfamide'|','|'carboplatin'|','|'etoposide'|')'|'with'|'or'|'without'|'bortezomib'|'in'|'patient'|'with'|'relapsed'|'/'|'refractory'|'hodgkin'|'lymphoma'|':'|'result'|'of'|'a'|'randomized'|'phase'|'ii'|'trial'	6	7	18	20	0.9799817674110229	0.9370394945144652
34352400	DB00445	DOID:1612	'accelerate'|'versus'|'standard'|'epirubicin'|'follow'|'by'|'cyclophosphamide'|','|'methotrexate'|','|'and'|'fluorouracil'|'or'|'capecitabine'|'as'|'adjuvant'|'therapy'|'for'|'breast'|'cancer'|'in'|'the'|'randomised'|'uk'|'tact2'|'trial'|'('|'cruk/05/19'|')'|':'|'a'|'multicentre'|','|'phase'|'3'|','|'open'|'-'|'label'|','|'randomise'|','|'control'|'trial'	18	20	3	4	0.9985731804977405	0.9531265497207642
35765874	DB01229	DOID:1612	'sunitinib'|'plus'|'paclitaxel'|'versus'|'bevacizumab'|'plus'|'paclitaxel'|'for'|'first'|'-'|'line'|'treatment'|'of'|'patients'|'with'|'advanced'|'breast'|'cancer'|':'|'a'|'phase'|'iii'|','|'randomized'|','|'open'|'-'|'label'|'trial'	6	7	15	18	0.999990694300154	0.9372198581695556
35765876	DB01229	DOID:1612	'sunitinib'|'plus'|'paclitaxel'|'versus'|'bevacizumab'|'plus'|'paclitaxel'|'for'|'first'|'-'|'line'|'treatment'|'of'|'patients'|'with'|'advanced'|'breast'|'cancer'|':'|'a'|'phase'|'iii'|','|'randomized'|','|'open'|'-'|'label'|'trial'	2	3	15	18	0.999990694300154	0.951680302619934
35765877	DB01268	DOID:1612	'sunitinib'|'plus'|'paclitaxel'|'versus'|'bevacizumab'|'plus'|'paclitaxel'|'for'|'first'|'-'|'line'|'treatment'|'of'|'patients'|'with'|'advanced'|'breast'|'cancer'|':'|'a'|'phase'|'iii'|','|'randomized'|','|'open'|'-'|'label'|'trial'	0	1	15	18	0.9946824890477228	0.9455233216285706
36348820	DB01229	DOID:1612	'pictilisib'|'pi3kinase'|'inhibitor'|'('|'a'|'phosphatidylinositol'|'3-kinase'|'['|'pi3'|'k'|']'|'inhibitor'|')'|'plus'|'paclitaxel'|'for'|'the'|'treatment'|'of'|'hormone'|'receptor'|'-'|'positive'|','|'her2-negative'|','|'locally'|'recurrent'|','|'or'|'metastatic'|'breast'|'cancer'|':'|'interim'|'analysis'|'of'|'the'|'multicentre'|','|'placebo'|'-'|'control'|','|'phase'|'ii'|'randomised'|'peggy'|'study'|'.'	13	14	28	30	0.9999724325364404	0.9361962080001832
37050173	DB00515	DOID:1324	'combine'|'chemotherapy'|'with'|'cisplatin'|','|'etoposide'|','|'and'|'irinotecan'|'versus'|'topotecan'|'alone'|'as'|'second'|'-'|'line'|'treatment'|'for'|'patient'|'with'|'sensitive'|'relapse'|'small'|'-'|'cell'|'lung'|'cancer'|'('|'jcog0605'|')'|':'|'a'|'multicentre'|','|'open'|'-'|'label'|','|'randomised'|'phase'|'3'|'trial'|'.'	3	4	20	23	0.9985731804977405	0.9404855370521544
37050176	DB00762	DOID:1324	'combine'|'chemotherapy'|'with'|'cisplatin'|','|'etoposide'|','|'and'|'irinotecan'|'versus'|'topotecan'|'alone'|'as'|'second'|'-'|'line'|'treatment'|'for'|'patient'|'with'|'sensitive'|'relapse'|'small'|'-'|'cell'|'lung'|'cancer'|'('|'jcog0605'|')'|':'|'a'|'multicentre'|','|'open'|'-'|'label'|','|'randomised'|'phase'|'3'|'trial'|'.'	8	9	20	23	0.9999727846691938	0.9418638944625854
37050178	DB01030	DOID:1324	'combine'|'chemotherapy'|'with'|'cisplatin'|','|'etoposide'|','|'and'|'irinotecan'|'versus'|'topotecan'|'alone'|'as'|'second'|'-'|'line'|'treatment'|'for'|'patient'|'with'|'sensitive'|'relapse'|'small'|'-'|'cell'|'lung'|'cancer'|'('|'jcog0605'|')'|':'|'a'|'multicentre'|','|'open'|'-'|'label'|','|'randomised'|'phase'|'3'|'trial'|'.'	10	11	20	23	0.9999727846691938	0.9539998173713684
37050179	DB00773	DOID:1324	'combine'|'chemotherapy'|'with'|'cisplatin'|','|'etoposide'|','|'and'|'irinotecan'|'versus'|'topotecan'|'alone'|'as'|'second'|'-'|'line'|'treatment'|'for'|'patient'|'with'|'sensitive'|'relapse'|'small'|'-'|'cell'|'lung'|'cancer'|'('|'jcog0605'|')'|':'|'a'|'multicentre'|','|'open'|'-'|'label'|','|'randomised'|'phase'|'3'|'trial'|'.'	5	6	20	23	0.9985731804977405	0.9432403445243835
37585511	DB06589	DOID:1324	'maintenance'|'pazopanib'|'versus'|'placebo'|'in'|'non'|'-'|'small'|'cell'|'lung'|'cancer'|'patient'|'non'|'-'|'progressive'|'after'|'first'|'line'|'chemotherapy'|':'|'a'|'double'|'blind'|'randomised'|'phase'|'iii'|'study'|'of'|'the'|'lung'|'cancer'|'group'|','|'eortc'|'08092'|'('|'eudract'|':'|'2010'|'-'|'018566'|'-'|'23'|','|'nct01208064'|')'|'.'	25	27	1	2	0.9955152439173718	0.9485296010971068
38769377	DB00472	DOID:1595	'fluoxetine'|'monotherapy'|'of'|'bipolar'|'type'|'ii'|'and'|'bipolar'|'nos'|'major'|'depression'|':'|'a'|'double'|'-'|'blind'|','|'placebo'|'-'|'substitution'|','|'continuation'|'study'|'.'	0	1	10	11	0.9589821136963048	0.9393901824951172
38909982	DB00947	DOID:1612	'conventional'|'treatment'|'with'|'an'|'aromatase'|'inhibitor'|'or'|'fulvestrant'|'may'|'be'|'an'|'adequate'|'treatment'|'option'|'for'|'most'|'patient'|'with'|'hormone'|'receptor'|'-'|'positive'|'advanced'|'breast'|'cancer'|'.'	23	25	7	8	0.1421022139310316	0.9343135356903076
39212612	DB05294	DOID:1324	'vandetanib'|'versus'|'placebo'|'in'|'patient'|'with'|'advanced'|'non'|'-'|'small'|'-'|'cell'|'lung'|'cancer'|'after'|'prior'|'therapy'|'with'|'an'|'epidermal'|'growth'|'factor'|'receptor'|'tyrosine'|'kinase'|'inhibitor'|':'|'a'|'randomized'|','|'double'|'-'|'blind'|'phase'|'iii'|'trial'|'('|'zephyr'|')'|'.'	7	10	0	1	0.9946824890477228	0.9392011165618896
42403898	DB00667	DOID:2531	'eighty'|'-'|'four'|'non'|'-'|'transplanted'|'aml'|'patient'|'in'|'first'|'complete'|'remission'|'receive'|'relapse'|'-'|'preventive'|'immunotherapy'|'with'|'histamine'|'dihydrochloride'|'and'|'low'|'-'|'dose'|'interleukin-2'|'in'|'an'|'international'|'phase'|'iv'|'trial'|'('|'clinicaltrialsgov'|';'|'nct01347996'|')'|'.'	18	20	6	7	0.9964365726516204	0.937478244304657
