candidate_id	gene1_id	gene2_id	lemma	gene1_start	gene1_end	gene2_start	gene2_end	generative_model_pred	discriminative_model_pred
198296	6256	6256	'nuclear'|'hormone'|'receptor'|','|'for'|'example'|','|'bind'|'either'|'as'|'homodimer'|'or'|'as'|'heterodimer'|'with'|'retinoid'|'x'|'receptor'|'('|'rxr'|')'|'to'|'half'|'-'|'site'|'repeat'|'that'|'be'|'stabilize'|'by'|'protein'|'-'|'protein'|'interaction'|'mediate'|'by'|'residue'|'within'|'both'|'the'|'dna-'|'and'|'ligand'|'-'|'bind'|'domain'|'.'	15	18	19	21	0.8238961240662436	0.551031768321991
281239	57105	57105	'the'|'bind'|'pocket'|'of'|'cyslt2'|'receptor'|'and'|'the'|'proposition'|'of'|'the'|'interaction'|'mode'|'between'|'cyslt2'|'and'|'hami3379'|'be'|'identify'|'.'	14	15	4	5	0.9670557028399481	0.5639010667800903
1324798	8431	8431	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	20	21	44	45	0.40356943348579655	0.5019243955612183
1324799	8431	8431	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	20	21	31	32	0.40356943348579655	0.4969910979270935
1324800	8431	2494	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	20	21	8	9	0.9975248037314439	0.5540680885314941
1324801	8431	8431	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	44	45	31	32	0.6888900877380194	0.5038344264030457
1324802	8431	2494	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	44	45	8	9	0.21449343670465962	0.4961627721786499
1324803	8431	2494	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	31	32	8	9	0.9998134464602579	0.5223281383514404
1844575	2852	2852	'g'|'protein'|'-'|'couple'|'estrogen'|'receptor'|'1'|'('|'gper1'|')'|'be'|'a'|'novel'|'seven'|'-'|'transmembrane'|'estrogen'|'receptor'|'that'|'function'|'alongside'|'traditional'|'nuclear'|'estrogen'|'receptor'|'('|'er'|')'|'to'|'regulate'|'the'|'cellular'|'response'|'to'|'estrogen'|'.'	6	8	0	5	0.0006327842528974752	0.4998646378517151
1926393	2099	23543	'mutation'|'of'|'the'|'rna'|'recognition'|'motif'|'alter'|'rna'|'bind'|'specificity'|'and'|'result'|'in'|'a'|'dominant'|'negative'|'form'|'of'|'rta'|'that'|'lead'|'to'|'derepression'|'of'|'eralpha'|'transcriptional'|'activity'|','|'allow'|'all'|'class'|'of'|'antiestrogen'|'to'|'manif'|'partial'|'agonist'|'activity'|'and'|'enhance'|'agonist'|'efficacy'|'.'	24	25	18	19	0.9980792688884181	0.496077686548233
3365144	186	185	'the'|'compound'|'exhibit'|'high'|'to'|'moderate'|'binding'|'affinity'|'for'|'the'|'at2'|'receptor'|','|'and'|'one'|'also'|'display'|'high'|'affinity'|'for'|'the'|'at1'|'receptor'|'.'	10	11	21	22	0.9670557028399481	0.4999444782733917
4637872	2100	2099	'ligand'|'bind'|'experiment'|'with'|'purify'|'er'|'alpha'|'and'|'er'|'beta'|'confirm'|'that'|'the'|'two'|'phytoestrogen'|'be'|'er'|'ligand'|'.'	8	10	5	7	0.9954104730468981	0.5025789737701416
7938020	2101	2101	'the'|'crystal'|'structure'|'of'|'the'|'ligand'|'bind'|'domain'|'('|'lbd'|')'|'of'|'the'|'estrogen'|'-'|'relate'|'receptor'|'alpha'|'('|'erralpha'|','|'nr3b1'|')'|'complexe'|'with'|'a'|'coactivator'|'peptide'|'from'|'peroxisome'|'proliferator'|'-'|'activate'|'receptor'|'coactivator-1alpha'|'('|'pgc-1alpha'|')'|'reveal'|'a'|'transcriptionally'|'active'|'conformation'|'in'|'the'|'absence'|'of'|'a'|'ligand'|'.'	13	16	19	21	0.020866467576777778	0.4916398525238037
7938023	2101	10891	'the'|'crystal'|'structure'|'of'|'the'|'ligand'|'bind'|'domain'|'('|'lbd'|')'|'of'|'the'|'estrogen'|'-'|'relate'|'receptor'|'alpha'|'('|'erralpha'|','|'nr3b1'|')'|'complexe'|'with'|'a'|'coactivator'|'peptide'|'from'|'peroxisome'|'proliferator'|'-'|'activate'|'receptor'|'coactivator-1alpha'|'('|'pgc-1alpha'|')'|'reveal'|'a'|'transcriptionally'|'active'|'conformation'|'in'|'the'|'absence'|'of'|'a'|'ligand'|'.'	19	21	32	34	0.9870245748225321	0.4926601052284241
7938024	2101	2101	'the'|'crystal'|'structure'|'of'|'the'|'ligand'|'bind'|'domain'|'('|'lbd'|')'|'of'|'the'|'estrogen'|'-'|'relate'|'receptor'|'alpha'|'('|'erralpha'|','|'nr3b1'|')'|'complexe'|'with'|'a'|'coactivator'|'peptide'|'from'|'peroxisome'|'proliferator'|'-'|'activate'|'receptor'|'coactivator-1alpha'|'('|'pgc-1alpha'|')'|'reveal'|'a'|'transcriptionally'|'active'|'conformation'|'in'|'the'|'absence'|'of'|'a'|'ligand'|'.'	19	21	17	18	0.0006327842528974752	0.5309690237045288
8836814	5865	5865	'relationship'|'between'|'hot'|'spot'|'residues'|'and'|'ligand'|'bind'|'hot'|'spot'|'in'|'protein'|'-'|'protein'|'interfaces'	8	9	2	3	0.04841761036842481	0.4866878688335418
9495286	2263	2263	'receptor'|'modeling'|'of'|'kgfr'|'be'|'use'|'to'|'identify'|'selective'|'kgfr'|'tyrosine'|'kinase'|'('|'tk'|')'|'inhibitor'|'molecule'|'that'|'have'|'the'|'potential'|'to'|'bind'|'selectively'|'to'|'the'|'kgfr'|'.'	3	4	26	27	0.9999388826678656	0.5014179348945618
10420732	4035	4035	'the'|'receptor'|'associate'|'protein'|'('|'rap'|')'|'be'|'a'|'38'|'kda'|'er'|'-'|'resident'|'protein'|'that'|'bind'|'tightly'|'to'|'the'|'low'|'density'|'lipoprotein'|'receptor'|'-'|'relate'|'protein'|'('|'lrp'|')'|','|'and'|'other'|'member'|'of'|'the'|'ldl'|'receptor'|'family'|'of'|'receptor'|','|'and'|'compete'|'with'|'all'|'know'|'lrp'|'ligand'|'for'|'bind'|'to'|'lrp'|'.'	24	26	48	49	0.40317739779250045	0.5019654035568237
10825047	3643	3768	'the'|'crystal'|'structure'|'provide'|'evidence'|'for'|'a'|'noncatalytic'|'mode'|'of'|'interaction'|'between'|'ptp1b'|'and'|'irk'|','|'which'|'could'|'be'|'important'|'for'|'the'|'selective'|'recruitment'|'of'|'ptp1b'|'to'|'the'|'insulin'|'receptor'|'.'	28	30	14	15	0.00028348590287552775	0.4902173280715942
10932429	8737	841	'this'|'lead'|'to'|'recruitment'|'of'|'caspase'|'8'|'and'|'receptor'|'interact'|'protein'|'('|'rip'|')'|'to'|'the'|'receptor'|'complex'|'.'	12	14	5	7	0.9991808757092205	0.4866316318511963
11886759	156	150	'mutation'|'of'|'these'|'residue'|'within'|'the'|'holo'|'-'|'alpha(2a)ar'|'diminish'|'grk2-promoted'|'phosphorylation'|'of'|'the'|'receptor'|'as'|'well'|'as'|'the'|'ability'|'of'|'the'|'kinase'|'to'|'be'|'activate'|'by'|'receptor'|'binding'|'.'	12	13	6	11	0.8221926704963924	0.5431346297264099
12425997	7181	7181	'the'|'human'|'testicular'|'receptor'|'2'|'('|'tr2'|')'|','|'a'|'member'|'of'|'the'|'nuclear'|'hormone'|'receptor'|'superfamily'|','|'have'|'no'|'identify'|'ligand'|'yet'|'.'	2	5	6	8	0.026734661678317475	0.522156834602356
12736442	9611	9572	'two'|'receptor'|'interaction'|'domain'|'in'|'the'|'corepressor'|','|'n'|'-'|'cor'|'/'|'rip13'|','|'be'|'require'|'for'|'an'|'efficient'|'interaction'|'with'|'rev'|'-'|'erba'|'alpha'|'and'|'rvr'|':'|'physical'|'association'|'be'|'dependent'|'on'|'the'|'e'|'region'|'of'|'the'|'orphan'|'receptor'|'.'	8	9	17	19	0.40775631343859337	0.4998150765895843
12736444	9572	9975	'two'|'receptor'|'interaction'|'domain'|'in'|'the'|'corepressor'|','|'n'|'-'|'cor'|'/'|'rip13'|','|'be'|'require'|'for'|'an'|'efficient'|'interaction'|'with'|'rev'|'-'|'erba'|'alpha'|'and'|'rvr'|':'|'physical'|'association'|'be'|'dependent'|'on'|'the'|'e'|'region'|'of'|'the'|'orphan'|'receptor'|'.'	17	19	20	21	4.222303273106007e-06	0.5062124133110046
14141312	2220	2220	'the'|'promiscuous'|'protein'|'retinoid'|'x'|'receptor'|'('|'rxr'|')'|'display'|'essential'|'allosteric'|'regulation'|'of'|'several'|'member'|'in'|'the'|'nuclear'|'hormone'|'receptor'|'superfamily'|'via'|'heterodimerization'|'and'|'('|'anti)cooperative'|'binding'|'of'|'cognate'|'ligand'|'.'	7	8	3	6	0.026734661678317475	0.5262247323989868
15054524	221895	7182	'tip27'|':'|'a'|'novel'|'repressor'|'of'|'the'|'nuclear'|'orphan'|'receptor'|'tak1'|'/'|'tr4'|'.'	0	1	10	11	0.9619317164466799	0.4990134835243225
16340192	5468	2099	'ppar-'|'gamma'|','|'('|'an'|'important'|'modulator'|'of'|'metabolism'|')'|'and'|'estrogen'|'receptor'|'belong'|'to'|'a'|'family'|'of'|'nuclear'|'hormone'|'receptor'|'that'|'be'|'show'|'to'|'interact'|'with'|'each'|'other'|'.'	0	3	12	14	0.6888900877380194	0.4856320023536682
27735099	4129	4129	'potentiation'|'of'|'ligand'|'bind'|'through'|'cooperative'|'effect'|'in'|'monoamine'|'oxidase'|'b.'|'crystallographic'|'and'|'biochemical'|'study'|'have'|'be'|'employ'|'to'|'identify'|'the'|'bind'|'site'|'and'|'mechanism'|'for'|'potentiation'|'of'|'imidazoline'|'bind'|'in'|'human'|'monoamine'|'oxidase'|'b'|'('|'mao'|'b'|')'|'.'	8	11	36	39	0.9991878439356627	0.4926779568195343
28242483	5468	5468	'although'|'these'|'agent'|'can'|'bind'|'and'|'activate'|'an'|'orphan'|'nuclear'|'receptor'|','|'peroxisome'|'proliferator'|'-'|'activate'|'receptor'|'gamma'|'('|'ppargamma'|')'|','|'there'|'be'|'no'|'direct'|'evidence'|'to'|'conclusively'|'implicate'|'this'|'receptor'|'in'|'the'|'regulation'|'of'|'mammalian'|'glucose'|'homeostasis'|'.'	17	19	12	16	0.8238961240662436	0.5039693117141724
31194541	6256	5465	'after'|'bind'|'ligand'|','|'the'|'ppar'|'-'|'y'|'receptor'|'heterodimerize'|'with'|'the'|'rxr'|'receptor'|'.'	10	11	5	6	0.9997480900311397	0.5626927614212036
32011642	3146	3146	'rage'|'be'|'a'|'multiligand'|'receptor'|'capable'|'to'|'bind'|'also'|'hmgb1'|'('|'high'|'mobility'|'group'|'box'|'protein'|'1'|')'|','|'s100'|'protein'|'or'|'amyloid'|'fibril'|'.'	11	18	9	10	0.03327555080859516	0.4903616607189178
39627188	2811	7450	'these'|'finding'|'indicate'|'the'|'novel'|'bind'|'site'|'require'|'for'|'vwf'|'binding'|'of'|'human'|'gpibalpha'|'.'	13	14	9	10	0.5178531325042752	0.527077317237854
40817151	6256	5465	'after'|'bind'|'ligand'|','|'the'|'ppar'|'-'|'y'|'receptor'|'heterodimerize'|'with'|'the'|'rxr'|'receptor'|'.'	10	11	5	6	0.9997480900311397	0.5626927614212036
42231446	8648	2104	'the'|'crystal'|'structure'|'of'|'the'|'ligand'|'bind'|'domain'|'('|'lbd'|')'|'of'|'the'|'estrogen'|'-'|'relate'|'receptor'|'3'|'('|'err3'|')'|'complexe'|'with'|'a'|'steroid'|'receptor'|'coactivator-1'|'('|'src-1'|')'|'peptide'|'reveal'|'a'|'transcriptionally'|'active'|'conformation'|'in'|'absence'|'of'|'any'|'ligand'|'.'	26	28	17	19	0.9921875118536951	0.5182063579559326
42231448	2104	8648	'the'|'crystal'|'structure'|'of'|'the'|'ligand'|'bind'|'domain'|'('|'lbd'|')'|'of'|'the'|'estrogen'|'-'|'relate'|'receptor'|'3'|'('|'err3'|')'|'complexe'|'with'|'a'|'steroid'|'receptor'|'coactivator-1'|'('|'src-1'|')'|'peptide'|'reveal'|'a'|'transcriptionally'|'active'|'conformation'|'in'|'absence'|'of'|'any'|'ligand'|'.'	17	19	22	25	0.9975325591146126	0.4896585047245025
